,temperature,luminosity,radius,absolute_magnitude,star_type,star_color,spectral_class
0,3068,0.0024,0.17,16.12,0,10,5
1,3042,0.0005,0.1542,16.6,0,10,5
2,2600,0.0003,0.102,18.7,0,10,5
3,2800,0.0002,0.16,16.65,0,10,5
4,1939,0.000138,0.10300000000000001,20.06,0,10,5
5,2840,0.00065,0.11,16.98,0,10,5
6,2637,0.00073,0.127,17.22,0,10,5
7,2600,0.0004,0.096,17.4,0,10,5
8,2650,0.0006900000000000001,0.11,17.45,0,10,5
9,2700,0.00018,0.13,16.05,0,10,5
10,3600,0.0029,0.51,10.69,1,10,5
11,3129,0.0122,0.3761,11.79,1,10,5
12,3134,0.0004,0.196,13.21,1,10,5
13,3628,0.0055,0.39299999999999996,10.48,1,10,5
14,2650,0.0006,0.14,11.782,1,10,5
15,3340,0.0038,0.24,13.07,1,10,5
16,2799,0.0018,0.16,14.79,1,10,5
17,3692,0.00367,0.47,10.8,1,10,5
18,3192,0.0036200000000000004,0.1967,13.53,1,10,5
19,3441,0.039,0.35100000000000003,11.18,1,10,5
20,25000,0.055999999999999994,0.0084,10.58,2,2,1
21,7740,0.00049,0.01234,14.02,2,11,0
22,7220,0.00016999999999999999,0.011000000000000001,14.23,2,11,2
23,8500,0.0005,0.01,14.5,2,11,0
24,16500,0.013000000000000001,0.013999999999999999,11.89,2,2,1
25,12990,8.499999999999999e-05,0.00984,12.23,2,15,2
26,8570,0.00081,0.0097,14.2,2,3,0
27,7700,0.00011,0.0128,14.47,2,15,2
28,11790,0.00015,0.011000000000000001,12.59,2,15,2
29,7230,8e-05,0.013000000000000001,14.08,2,9,2
30,39000,204000.0,10.6,-4.7,3,0,6
31,30000,28840.0,6.3,-4.2,3,6,1
32,15276,1136.0,7.2,-1.97,3,6,1
33,9700,74.0,2.89,0.16,3,13,1
34,5800,0.81,0.9,5.05,3,17,2
35,8052,8.7,1.8,2.42,3,13,0
36,6757,1.43,1.12,2.41,3,17,2
37,6380,1.35,0.98,2.93,3,17,2
38,5936,1.357,1.1059999999999999,4.46,3,17,2
39,5587,0.8190000000000001,0.99,5.03,3,17,2
40,3826,200000.0,19.0,-6.93,4,10,5
41,3365,340000.0,23.0,-6.2,4,10,5
42,3270,150000.0,88.0,-6.02,4,10,5
43,3200,195000.0,17.0,-7.22,4,10,5
44,3008,280000.0,25.0,-6.0,4,10,5
45,3600,320000.0,29.0,-6.6,4,10,5
46,3575,123000.0,45.0,-6.78,4,10,5
47,3574,200000.0,89.0,-5.24,4,10,5
48,3625,184000.0,84.0,-6.74,4,10,5
49,33750,220000.0,26.0,-6.1,4,0,1
50,3490,270000.0,1520.0,-9.4,5,10,5
51,3750,283000.0,1260.0,-7.63,5,10,5
52,3834,272000.0,1183.0,-9.2,5,10,5
53,3749,550000.0,1648.0,-8.05,5,7,5
54,3650,310000.0,1324.0,-7.79,5,10,5
55,3450,263000.0,1349.0,-11.75,5,10,5
56,3660,363000.0,1673.0,-11.92,5,10,5
57,3450,174000.0,1284.0,-11.28,5,10,5
58,3752,209000.0,955.0,-11.24,5,10,5
59,3535,195000.0,1546.0,-11.36,5,10,5
60,3341,0.0056,0.057,16.23,0,10,5
61,3432,0.00067,0.19,16.94,0,10,5
62,2983,0.00023999999999999998,0.094,16.09,0,10,5
63,2835,0.00033999999999999997,0.0918,16.96,0,10,5
64,2935,0.00014,0.11599999999999999,18.89,0,10,5
65,3295,0.00098,0.132,17.13,0,10,5
66,2945,0.00032,0.09300000000000001,18.34,0,10,5
67,2817,0.00098,0.0911,16.45,0,10,5
68,2774,0.00036,0.11800000000000001,17.39,0,10,5
69,2871,0.00072,0.12,19.43,0,10,5
70,3345,0.021,0.273,12.3,1,10,5
71,3607,0.022000000000000002,0.38,10.12,1,10,5
72,3304,0.0085,0.18,13.2,1,10,5
73,3150,0.0088,0.35,11.94,1,10,5
74,3550,0.004,0.29100000000000004,10.89,1,10,5
75,3180,0.001,0.35,11.76,1,10,5
76,2890,0.0034,0.24,13.46,1,10,5
77,3342,0.0015,0.307,11.87,1,10,5
78,2621,0.0006,0.098,12.81,1,10,5
79,3158,0.00135,0.161,13.98,1,10,5
80,7100,0.00029,0.012,14.09,2,12,2
81,10574,0.00014,0.0092,12.02,2,11,2
82,8930,0.00056,0.0095,13.78,2,16,0
83,17200,0.00098,0.015,12.45,2,2,1
84,14100,0.00067,0.0089,12.17,2,2,1
85,9675,0.00045,0.0109,13.98,2,2,0
86,12010,0.00078,0.0092,12.13,2,2,1
87,10980,0.00074,0.0087,11.19,2,2,1
88,13720,0.00018,0.00892,12.97,2,16,2
89,19860,0.0011,0.0131,11.34,2,1,1
90,5300,0.59,0.91,5.49,3,17,2
91,4526,0.153,0.865,6.506,3,18,4
92,4077,0.085,0.795,6.228,3,18,4
93,4980,0.35700000000000004,1.13,4.78,3,14,4
94,9030,45.0,2.63,1.45,3,6,0
95,11250,672.0,6.98,-2.3,3,6,0
96,5112,0.63,0.8759999999999999,4.68,3,8,4
97,7720,7.92,1.34,2.44,3,17,2
98,12098,689.0,7.01,0.02,3,6,0
99,36108,198000.0,10.2,-4.4,3,0,6
100,33300,240000.0,12.0,-6.5,4,0,1
101,40000,813000.0,14.0,-6.23,4,0,6
102,23000,127000.0,36.0,-5.76,4,0,6
103,17120,235000.0,83.0,-6.89,4,0,6
104,11096,112000.0,12.0,-5.91,4,0,6
105,14245,231000.0,42.0,-6.12,4,0,6
106,24630,363000.0,63.0,-5.83,4,0,6
107,12893,184000.0,36.0,-6.34,4,0,6
108,24345,142000.0,57.0,-6.24,4,0,6
109,33421,352000.0,67.0,-5.79,4,0,6
110,3459,100000.0,1289.0,-10.7,5,10,5
111,3605,126000.0,1124.0,-10.81,5,10,5
112,3615,200000.0,1635.0,-11.33,5,10,5
113,3399,117000.0,1486.0,-10.92,5,10,5
114,3610,132000.0,1522.0,-10.86,5,10,5
115,3553,145000.0,1324.0,-11.03,5,10,5
116,4015,282000.0,1534.0,-11.39,5,10,4
117,3625,74000.0,876.0,-10.25,5,10,5
118,6850,229000.0,1467.0,-10.07,5,10,3
119,3780,200000.0,1324.0,-10.7,5,10,5
120,3323,0.00043,0.0912,17.16,0,10,5
121,3531,0.00093,0.0976,19.94,0,10,5
122,3218,0.00054,0.11,20.02,0,10,5
123,3146,0.00015,0.0932,16.92,0,10,5
124,3511,0.00064,0.109,17.12,0,10,5
125,3225,0.0007599999999999999,0.121,19.63,0,10,5
126,2935,0.0008699999999999999,0.0932,16.88,0,10,5
127,2861,0.00018999999999999998,0.0899,16.71,0,10,5
128,2856,0.0008960000000000001,0.0782,19.56,0,10,5
129,2731,0.000437,0.0856,18.09,0,10,5
130,3095,0.00018999999999999998,0.49200000000000005,10.87,1,10,5
131,3607,0.00022999999999999998,0.38,10.34,1,10,5
132,3100,0.008,0.31,11.17,1,10,5
133,2989,0.0087,0.34,13.12,1,10,5
134,3542,0.0009,0.62,14.23,1,10,5
135,3243,0.0023,0.73,14.75,1,10,5
136,3091,0.0081,0.24,11.43,1,10,5
137,3598,0.0011,0.56,14.26,1,10,5
138,3324,0.0034,0.34,12.23,1,10,5
139,3541,0.0013,0.256,14.33,1,10,5
140,13420,0.00059,0.00981,13.67,2,2,1
141,21020,0.0015,0.0112,11.52,2,0,1
142,18290,0.0013,0.009340000000000001,12.78,2,0,1
143,14520,0.00082,0.00972,11.92,2,2,1
144,11900,0.00067,0.00898,11.38,2,4,1
145,8924,0.00028,0.008790000000000001,14.87,2,3,0
146,12912,0.0007099999999999999,0.00945,12.83,2,3,1
147,14732,0.00011,0.00892,12.89,2,16,2
148,7723,0.00014,0.00878,14.81,2,11,0
149,12984,0.00088,0.00996,11.23,2,2,1
150,29560,188000.0,6.02,-4.01,3,6,1
151,8945,38.0,2.487,0.12,3,5,0
152,14060,1092.0,5.745,-2.04,3,6,0
